pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
157.0,39.4,-90.0,bottom,D406,"PESD3V3L1BA,115",,PESD3V3L1BA_115-SOD-323-2,"PESD3V3L1BA,115",smt
107.345,85.125,0.0,top,D407,APFA3010LSEEZGKQBKC,,LED_Kingbright_APFA3010_3x1.5mm_Horizontal,LED_RAGB,smt
153.75,39.4,-90.0,bottom,D408,"PESD3V3L1BA,115",,PESD3V3L1BA_115-SOD-323-2,"PESD3V3L1BA,115",smt
134.0,77.7125,-90.0,top,FB401,BBGK00160808601Y00,,L_0603_1608Metric,FerriteBead,smt
139.75,62.7875,-90.0,top,FB402,FBMJ1608HM180NTR,,L_0603_1608Metric,FerriteBead,smt
193.8,53.149999,0.0,top,FB701,BLM15HD182SN1D,,BLM15HD182SN1D,FerriteBead,smt
193.8,51.349999,0.0,top,FB702,BLM15HD182SN1D,,BLM15HD182SN1D,FerriteBead,smt
132.0,113.5,0.0,top,FB801,BBGK00160808601Y00,,L_0603_1608Metric,FerriteBead,smt
11.25,110.0,0.0,top,FM201,,,Fiducial_1mm_Mask2mm,Fiducial,smt
188.75,110.0,0.0,top,FM202,,,Fiducial_1mm_Mask2mm,Fiducial,smt
11.25,5.0,0.0,top,FM203,,,Fiducial_1mm_Mask2mm,Fiducial,smt
11.25,110.0,180.0,bottom,FM204,,,Fiducial_1mm_Mask2mm,Fiducial,smt
188.75,110.0,180.0,bottom,FM205,,,Fiducial_1mm_Mask2mm,Fiducial,smt
11.25,5.0,180.0,bottom,FM206,,,Fiducial_1mm_Mask2mm,Fiducial,smt
61.9125,110.505,180.0,top,J201,USB4105-GF-A ,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
79.4125,109.725,180.0,top,J202,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
158.0,31.17,90.0,top,J401,62701021621,,62701021621,Conn_02x05_Counter_Clockwise,tht
190.365,94.965,-90.0,top,J501,CLP-110-02-G-D,,CLP-110-02-XXX-D,CLP-110-02-G-D,smt
114.43,20.8,0.0,top,J502,62701021621,,62701021621,Conn_02x05_Counter_Clockwise,tht
191.75,60.21,180.0,top,J503,M20-9720546,,PinHeader_2x10_P2.54mm_Vertical,Conn_02x08_Counter_Clockwise,tht
5.5,93.58,-90.0,top,J601,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
5.5,61.0,-90.0,top,J602,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
5.5,26.0,-90.0,top,J603,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
49.92,5.6,0.0,top,J604,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
66.92,5.6,0.0,top,J605,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
83.92,5.6,0.0,top,J606,1548128,,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",Screw_Terminal_01x02,tht
195.0,25.5,90.0,top,J701,1548129,,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",Screw_Terminal_01x03,tht
139.7,23.1,0.0,top,J702,DM3AT-SF-PEJM5(40),,DM3ATSFPEJM540,DM3AT-SF-PEJM5_40_,smt
155.27,98.54,180.0,top,J801,SI-60062-F,,Connector-SI60062F,SI-60062-F,tht
73.1875,80.025,0.0,top,L301,MCHK1608T2R2MKN,,L_0603_1608Metric,2u2,smt
60.825,80.025,0.0,top,L302,MCHK1608T2R2MKN,,L_0603_1608Metric,2u2,smt
78.775,82.225,0.0,top,L303,LQM21FN100M80L,,L_0805_2012Metric,10u,smt
66.3125,82.025,0.0,top,L304,LQM21FN100M80L,,L_0805_2012Metric,10u,smt
146.7875,64.75,180.0,top,L401,MCHK1608T2R2MKN,,L_0603_1608Metric,2u2,smt
64.325,96.775,90.0,top,Q201,STL6N3LLH6,,STL6N3LLH6,STL6N3LLH6,smt
61.7125,100.45,-90.0,top,R201,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
61.7125,96.95,-90.0,top,R202,SFR03EZPF2701,,R_0603_1608Metric,2k7,smt
78.1025,93.525,180.0,top,R203,SFR01MZPF1200,,R_0402_1005Metric,120R,smt
57.9125,84.9,90.0,top,R301,CRCW0603100KFKEE,,R_0603_1608Metric,100k,smt
80.175,78.7,0.0,top,R302,CRCW0603100KFKEE,,R_0603_1608Metric,100k,smt
36.595,111.6,0.0,top,R303,RC0402FR-07221RL,,R_0402_1005Metric,220R,smt
36.475,108.5,0.0,top,R304,RC0402FR-07221RL,,R_0402_1005Metric,220R,smt
136.25,51.325,-90.0,top,R401,ERJ-S03F22R0V,,R_0603_1608Metric,22R,smt
132.25,47.75,0.0,top,R402,ERJ-S03F22R0V,,R_0603_1608Metric,22R,smt
126.0,67.825,-90.0,bottom,R403,ERJ-S03F22R0V,,R_0603_1608Metric,22R,smt
75.25,47.75,-90.0,top,R404,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
105.75,81.675,-90.0,top,R405,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
108.75,81.675,-90.0,top,R406,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
107.25,81.675,-90.0,top,R407,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
151.5,31.0,0.0,bottom,R408,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
151.5,32.25,0.0,bottom,R409,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
151.5,33.75,0.0,bottom,R410,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
151.5,36.25,0.0,bottom,R411,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
124.5,48.25,-90.0,top,R412,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
121.75,48.175,-90.0,top,R413,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
117.0,79.675,-90.0,top,R414,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
126.9,12.925,90.0,top,R501,CRCW060347K0FKEAHP,,R_0603_1608Metric,47k,smt
105.5,16.925,-90.0,top,R502,ERJ-S03F22R0V,,R_0603_1608Metric,22R,smt
103.7,8.625,90.0,top,R503,SR0603FR-7T4K7L,,R_0603_1608Metric,4k7,smt
22.0,98.5,-90.0,top,R601,B72220S0271K101,,B72220S0271K101,R_Variable,tht
22.0,70.5,-90.0,top,R602,B72220S0271K101,,B72220S0271K101,R_Variable,tht
22.0,42.0,-90.0,top,R603,B72220S0271K101,,B72220S0271K101,R_Variable,tht
27.4125,98.5,180.0,top,R604,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
27.0875,70.5,180.0,top,R605,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
26.9125,42.0,180.0,top,R606,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
57.4,25.675,-90.0,top,R607,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
76.9,25.825,-90.0,top,R608,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
96.5,26.225,-90.0,top,R609,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
31.4125,98.5,180.0,top,R610,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
31.0875,70.5,180.0,top,R611,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
31.0,42.0,180.0,top,R612,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
35.3375,98.5,180.0,top,R613,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
35.0875,70.5,180.0,top,R614,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
35.0,42.0,180.0,top,R615,TNPV0805330KBEEA,,R_0805_2012Metric,330k,smt
56.5,30.2,180.0,top,R616,ERJ-3EKF1502V,,R_0603_1608Metric,15k,smt
76.025,29.9,180.0,top,R617,ERJ-3EKF1502V,,R_0603_1608Metric,15k,smt
95.675,30.2,180.0,top,R618,ERJ-3EKF1502V,,R_0603_1608Metric,15k,smt
35.25,94.9125,90.0,top,R619,RT0805FRE10750RL,,R_0805_2012Metric,750R,smt
